filename,width,height,class,xmin,ymin,xmax,ymax
0.jpg,275,183,pothole,141,134,181,152
0.jpg,275,183,pothole,182,169,217,182
0.jpg,275,183,pothole,103,95,161,107
0.jpg,275,183,pothole,163,109,236,130
0.jpg,275,183,pothole,142,88,200,99
0.jpg,275,183,pothole,56,89,91,97
0.jpg,275,183,pothole,135,75,164,84
0.jpg,275,183,pothole,92,83,129,89
0.jpg,275,183,pothole,228,97,268,109
1.jpg,225,225,pothole,31,97,154,147
10.jpg,293,172,pothole,73,74,210,167
100.jpg,290,174,pothole,96,96,198,138
101.jpg,275,183,pothole,41,163,122,178
102.jpg,275,183,pothole,101,134,151,172
103.jpg,250,201,pothole,118,131,184,152
103.jpg,250,201,pothole,83,181,170,201
103.jpg,250,201,pothole,2,136,64,175
103.jpg,250,201,pothole,156,156,207,179
103.jpg,250,201,pothole,28,102,162,127
103.jpg,250,201,pothole,47,91,88,99
103.jpg,250,201,pothole,44,69,120,88
103.jpg,250,201,pothole,66,51,175,67
103.jpg,250,201,pothole,81,32,170,51
103.jpg,250,201,pothole,74,19,167,31
103.jpg,250,201,pothole,87,4,164,19
104.jpg,275,183,pothole,82,66,229,104
105.jpg,282,179,pothole,132,145,235,179
105.jpg,282,179,pothole,49,100,94,157
105.jpg,282,179,pothole,134,123,195,144
105.jpg,282,179,pothole,107,101,161,122
105.jpg,282,179,pothole,92,88,133,98
105.jpg,282,179,pothole,72,71,101,86
105.jpg,282,179,pothole,102,54,120,67
105.jpg,282,179,pothole,124,66,153,78
105.jpg,282,179,pothole,145,81,184,97
105.jpg,282,179,pothole,187,77,223,87
105.jpg,282,179,pothole,233,94,270,111
105.jpg,282,179,pothole,167,99,230,113
105.jpg,282,179,pothole,200,115,268,141
105.jpg,282,179,pothole,274,79,282,87
106.jpg,274,184,pothole,121,98,217,138
107.jpg,300,168,pothole,1,71,189,168
107.jpg,300,168,pothole,191,92,300,167
108.jpg,275,183,pothole,1,125,42,183
108.jpg,275,183,pothole,54,109,103,133
108.jpg,275,183,pothole,1,68,130,99
108.jpg,275,183,pothole,114,106,196,155
108.jpg,275,183,pothole,154,95,171,105
108.jpg,275,183,pothole,155,65,200,95
108.jpg,275,183,pothole,166,51,230,64
108.jpg,275,183,pothole,240,60,275,76
108.jpg,275,183,pothole,210,71,275,96
108.jpg,275,183,pothole,214,98,265,140
108.jpg,275,183,pothole,196,160,227,182
108.jpg,275,183,pothole,1,102,40,116
